"name","genres","content_rating","play_rating","play_lifespan","app_rating","app_lifespan","max_lifespan","cost_lifespan","play_revenue","app_revenue","total_revenue","play_purchase","app_purchase","total_purchase","profit"
"PewDiePie's Tuber Simulator","Games","9+","5.0","11","5.0","11","11","132000","660000","660000","1320000","10000","10000","20000","1188000"
"FINAL FANTASY V","Games","9+","4.5","10","4.5","10","10","120000","600000","600000","1200000","79900.00","149900.00","229800.00","1150000"
"Cytus","Games","4+","4.5","10","5.0","11","11","132000","600000","660000","1260000","10000","19900.00","29900.00","1137900"
"ASOS","Shopping","4+","4.5","10","5.0","11","11","132000","600000","660000","1260000","10000","10000","20000","1128000"
"Domino's Pizza USA","Food & Drink","4+","4.5","10","5.0","11","11","132000","600000","660000","1260000","10000","10000","20000","1128000"
"Egg, Inc.","Games","4+","4.5","10","5.0","11","11","132000","600000","660000","1260000","10000","10000","20000","1128000"
"Fernanfloo","Games","9+","5.0","11","4.5","10","11","132000","660000","600000","1260000","10000","10000","20000","1128000"
"Geometry Dash Lite","Games","4+","4.5","10","5.0","11","11","132000","600000","660000","1260000","10000","10000","20000","1128000"
"H*nest Meditation","Entertainment","17+","5.0","11","4.5","10","11","132000","660000","600000","1260000","19900.00","19900.00","39800.00","1128000"
"The EO Bar","Health & Fitness","4+","4.5","10","5.0","11","11","132000","600000","660000","1260000","69900.00","69900.00","139800.00","1128000"
